genero_usuario,edad_usuario,Generacion,nombre_estacion_origen,duracion_recorrido
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",286
MALE,27,"Millennials Jóvenes","009 - Parque Las Heras",122
MALE,27,"Millennials Jóvenes","089 - Cabello",468
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",254
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",273
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",350
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",271
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",276
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",318
MALE,27,"Millennials Jóvenes","105 - PARQUE SAAVEDRA",815
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",455
MALE,27,"Millennials Jóvenes","089 - Cabello",337
MALE,27,"Millennials Jóvenes","105 - PARQUE SAAVEDRA",883
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",269
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",495
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",401
MALE,27,"Millennials Jóvenes","089 - Cabello",364
MALE,27,"Millennials Jóvenes","124 - UGARTECHE",260
MALE,27,"Millennials Jóvenes","065 - Julián Álvarez",444
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",312
MALE,27,"Millennials Jóvenes","089 - Cabello",340
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",353
MALE,27,"Millennials Jóvenes","292 - PLAZA BOLIVIA",998
MALE,27,"Millennials Jóvenes","089 - Cabello",375
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",340
MALE,27,"Millennials Jóvenes","089 - Cabello",463
MALE,27,"Millennials Jóvenes","065 - Julián Álvarez",602
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",247
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",285
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",287
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",242
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",372
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",271
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",273
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",265
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",261
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",286
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",634
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",252
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",235
MALE,27,"Millennials Jóvenes","089 - Cabello",315
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",242
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",366
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",318
MALE,27,"Millennials Jóvenes","012 - Plaza Vicente Lopez",915
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",254
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",499
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",248
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",219
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",357
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",290
MALE,27,"Millennials Jóvenes","059 - Coronel Diaz",351
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",335
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",354
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",350
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",351
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",310
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",410
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",422
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",367
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",341
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",326
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",386
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",290
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",344
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",681
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",250
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",369
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",303
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",359
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",331
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",261
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",280
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",288
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",433
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",430
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",329
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",332
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",290
MALE,28,"Millennials Jóvenes","080 - VALLE",574
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",314
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",277
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",311
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",299
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",290
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",411
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",316
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",323
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",332
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",270
MALE,28,"Millennials Jóvenes","384 - PLAZA BENITO NAZAR",679
MALE,28,"Millennials Jóvenes","276 - PRIMERA JUNTA",397
MALE,28,"Millennials Jóvenes","111 - MACACHA GUEMES",700
MALE,28,"Millennials Jóvenes","035 - INGENIERO BUTTY",705
MALE,28,"Millennials Jóvenes","111 - MACACHA GUEMES",766
MALE,28,"Millennials Jóvenes","111 - MACACHA GUEMES",696
MALE,28,"Millennials Jóvenes","035 - INGENIERO BUTTY",702
MALE,28,"Millennials Jóvenes","114 - DELLA PAOLERA",718
MALE,28,"Millennials Jóvenes","111 - MACACHA GUEMES",572
MALE,28,"Millennials Jóvenes","114 - DELLA PAOLERA",684
MALE,28,"Millennials Jóvenes","111 - MACACHA GUEMES",909
MALE,28,"Millennials Jóvenes","114 - DELLA PAOLERA",635
MALE,28,"Millennials Jóvenes","111 - MACACHA GUEMES",771
MALE,28,"Millennials Jóvenes","111 - MACACHA GUEMES",232
MALE,28,"Millennials Jóvenes","111 - MACACHA GUEMES",69
MALE,28,"Millennials Jóvenes","111 - MACACHA GUEMES",375
MALE,28,"Millennials Jóvenes","128 - PARQUE DEL BAJO",287
MALE,28,"Millennials Jóvenes","111 - MACACHA GUEMES",506
MALE,28,"Millennials Jóvenes","111 - MACACHA GUEMES",624
MALE,28,"Millennials Jóvenes","114 - DELLA PAOLERA",546
MALE,28,"Millennials Jóvenes","111 - MACACHA GUEMES",572
MALE,28,"Millennials Jóvenes","111 - MACACHA GUEMES",204
MALE,28,"Millennials Jóvenes","111 - MACACHA GUEMES",955
MALE,26,"Millennials Jóvenes","147 - Constitución",2329
MALE,26,"Millennials Jóvenes","152 - JULIETA LANTERI",2632
MALE,26,"Millennials Jóvenes","061 - Ministerio de Economia",1724
MALE,26,"Millennials Jóvenes","147 - Constitución",3171
MALE,26,"Millennials Jóvenes","191 - Rivadavia y 9 de Julio",2144
MALE,26,"Millennials Jóvenes","116 - HOSPITAL ALEMÁN",1525
MALE,26,"Millennials Jóvenes","147 - Constitución",1253
FEMALE,31,"Millennials Jóvenes","029 - Parque Centenario",738
FEMALE,31,"Millennials Jóvenes","384 - PLAZA BENITO NAZAR",950
FEMALE,31,"Millennials Jóvenes","292 - PLAZA BOLIVIA",2265
FEMALE,31,"Millennials Jóvenes","059 - Coronel Diaz",2557
FEMALE,31,"Millennials Jóvenes","334 - CENTRO DE EXPOSICIONES",1081
FEMALE,31,"Millennials Jóvenes","001 - FACULTAD DE DERECHO",367
FEMALE,31,"Millennials Jóvenes","059 - Coronel Diaz",1273
FEMALE,31,"Millennials Jóvenes","059 - Coronel Diaz",212
FEMALE,31,"Millennials Jóvenes","059 - Coronel Diaz",258
FEMALE,33,"Millennials Jóvenes","387 - Luna",472
FEMALE,33,"Millennials Jóvenes","387 - Luna",422
